,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/SSA,SHWETA ASHTEKAR,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,TE-CSBS-A3-CMA-520,,SE-C2-DSE-520,,,"CMA
TE-CSBS-A
415",,, ,,,,,,,,,,,,,,,,
TUE,,"DSE
SE-C
506",TE-CSBS-A1-CMA-520,,,,,,,,,,,,,,,,,,,,,,
WED,TE-CSBS-A2-CMA-520,,SE-C1-DSE-520,,,"CMA
TE-CSBS-A
514",,,,,,,,,,,,,,,,,,,
THR,,,"CMA
TE-CSBS-A
504",,,"DSE
SE-C
506",,,,,,,,,,,,,,,,,,,
FRI,,"DSE
SE-C
506",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
