,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AVV,DR. AMARSINGH VIDHATE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,,,,,,"PEC-IV QCQI
TE-CSBS
511",, ,,,,,,,,,,,,,,,,
TUE,,,,,,"PEC-IV QCQI
TE-CSBS
511",,,,,,,,,,,,,,,,,,,
WED,,,"MTech-IS(TH)
(11:00-12:30PM)
213A
",,,,,,,,,,,,,,,,,,,,,,
THR,,,"MTech-IS(TH)
(11:30-1:00PM)
213A",,,,,,,,,,,,,,,,,,,,,,
FRI,,,"PEC-IV QCQI
TE-CSBS
511",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
