,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,DVD,DAYANAND DHONGDE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,SE-D1-SBLPython-513A,,SE-E2-DSE-521,,,,,, ,,,,,,,,,,,,,,,,
TUE,"DSE
SE-E
515",,"SBLPython
SE-D
514",,SE-D3-SBLPython-513A,,,,,,,,,,,,,,,,,,,,
WED,,,SE-E1-DSE-521,,SE-D2-SBLPython-513A,,"DSE
SE-E
515",,,,,,,,,,,,,,,,,,
THR,,"SBLPython
SE-D
514",SE-E3-DSE-521,,,,,,,,,,,,,,,,,,,,,,
FRI,,,"DSE
SE-E
515",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
