,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12,MMD,DR. MANOJ DONGRE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,,"PEC-II CC
TE-(D+C2+C3)
625",,,,,, ,,,,,,,,,,,,,,,,
TUE,,,TE-CSBS-A3-IS-513A,,"PEC-II CC
TE-(D+C2+C3)
625",,,"IS
TE-CSBS
415",,,,,,,,,,,,,,,,,
WED,,"PEC-II CC
TE-(D1+D2+D3+C3)
625",,"IS
TE-CSBS
505",,,,,,,,,,,,,,,,,,,,,
THR,TE-CSBS-A2-IS-522,,,,"IS
TE-CSBS
612A",,,,,,,,,,,,,,,,,,,,
FRI,,,,,TE-CSBS-A1-IS-522,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
