,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,THG,DR. TUSHAR GHORPADE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,"MINOR-NLP
TE-A
625",,,,,,TE-D2-PEC-III-DMV-513B,, ,,,,,,,,,,,,,,,,
TUE,"MINOR-NLP
TE-A
625","PEC-III DMV
TE-(E1+E2+B3+D3)
612A",,,,,,,,,,,,,,,,,,,,,,,
WED,"MINOR-NLP
TE-A
625",,,,"PEC-III DMV
TE-(E1+E2+B3+D3)
612A",,TE-E1-PEC-III-DMV-513B,,,,,,,,,,,,,,,,,,
THR,TE-A1-MINOR-NLP-513A,,,,TE-E2-PEC-III-DMV-513B,,,,,,,,,,,,,,,,,,,,
FRI,,"PEC-III DMV
TE-(E1+E2+B3+D3)
612A",,,,,TE-B1-MINOR-NLP-513A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
