,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,/BAA,DR. BHAVNA ALTE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,"CNS
TE-A
626",SE-B3-SBLPython-513B,,,,,, ,,,,,,,,,,,,,,,,
TUE,,"SBLPython
SE-B
505",,,,"CNS
TE-A
626",,,,,,,,,,,,,,,,,,,
WED,,"SBLPython
SE-B
505",SE-B2-SBLPython-513B,,,,TE-A3-CNS-520,,,,,,,,,,,,,,,,,,
THR,,,SE-B1-SBLPython-513B,,TE-A1-CNS-520,,,,,,,,,,,,,,,,,,,,
FRI,"CNS
TE-A
626",,TE-A2-CNS-518A,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
