,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/HGB,DR. HEMLATA BIRADAR,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,SE-D3-DSE-524,,"DSE
SE-D
504",,,,FE-M2-DSA-212B,, ,,,,,,,,,,,,,,,,
TUE,FE-M1-DSA-212B,,,"DSA
FE-M
005",SE-D2-DSE-524,,,,,,,,,,,,,,,,,,,,
WED,,,"DSE
SE-D
514",,,,,,,,,,,,,,,,,,,,,,
THR,,,"DSA
FE-M
01205",,,,,,,,,,,,,,,,,,,,,,
FRI,,,"DSA
FE-M
005",,"DSE
SE-D
514",,FE-M3-DSA-212B,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
