,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15,/JSR,Dr. Jaswantsingh Rajput,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,,SE-E1-CN-518B,,,"IOT
TE-D
625",,, ,,,,,,,,,,,,,,,,
TUE,,"CN
SE-E
515",,,,"IOT
TE-D
625",TE-D2-PEC-II-CC-112A,,,,,,,,,,,,,,,,,,
WED,,,SE-E3-CN-518B,,,"CN
SE-E
515",,,,,,,,,,,,,,,,,,,
THR,,,SE-E2-CN-518B,,,,,,,,,,,,,,,,,,,,,,
FRI,,"CN
SE-E
515",TE-D3-PEC-II-CC-112A,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
