,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/PVG,DR. POONAM GADGE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,"ML
TE-C
624",,"AI
TE-CSBS
505",,,TE-C1-ML-202A,, ,,,,,,,,,,,,,,,,
TUE,,"AI
TE-CSBS
414",TE-CSBS-A2-AI-522,,,"ML
TE-C
624",,,,,,,,,,,,,,,,,,,
WED,TE-CSBS-A3-AI-522,,,,,,,,,,,,,,,,,,,,,,,,
THR,TE-CSBS-A1-AI-520,,"ML
TE-C
624",,,"AI
TE-CSBS
612A",,,,,,,,,,,,,,,,,,,
FRI,,,TE-C2-ML-617B,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
