,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13,/SDD,Dr. SIULI DAS,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,"DSE
SE-A
504",SE-A2-DSE-519,,,"IOT
TE-C
624",,, ,,,,,,,,,,,,,,,,
TUE,,,"IOT
SE-A-CSBS
414",,"DSE
SE-A
504",,,,,,,,,,,,,,,,,,,,
WED,,,SE-A1-DSE-519,,,"IOT
TE-C
624",,,,,,,,,,,,,,,,,,,
THR,,,SE-A3-DSE-519,,,,,,,,,,,,,,,,,,,,,,
FRI,"IOT
SE-A-CSBS
414",,"DSE
SE-A
504",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
