,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/SS,DR. SHAMAL SALUNKHE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,"CP
FE-B
005",,FE-A3-CP-212A,,,,,, ,,,,,,,,,,,,,,,,
TUE,,"CP
FE-B
005",,,,"CP
FE-A
004",,,,,,,,,,,,,,,,,,,
WED,FE-B1-CP-212A,,FE-D1-CP-212A,,,"CP
FE-B
005",,,,,,,,,,,,,,,,,,,
THR,,"CP
FE-A
004",,,FE-A2-CP-212A,,,,,,,,,,,,,,,,,,,,
FRI,,,FE-B2-CP-212A,,,"CP
FE-A
004",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
