,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12,/SSS,Dr. SHILPA SHINDE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,,,,,,TE-B1-PEC-III-DMV-513A,, ,,,,,,,,,,,,,,,,
TUE,,"PEC-III DMV
TE-A1+A3+B1+D1
626",,,,,TE-A1-PEC-III-DMV-513A,,,,,,,,,,,,,,,,,,
WED,"MINOR
SE
504",,,,"PEC-III DMV
TE-A1+A3+B1+D1
626",,,,,,,,,,,,,,,,,,,,
THR,"MINOR
SE
504",,,,TE-B3-PEC-III-DMV-617A,,,,,,,,,,,,,,,,,,,,
FRI,"MINOR
SE
504","PEC-III DMV
TE-A1+A3+B1+D1
626",TE-(C3+E3)-PEC-III-DMV- 112C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
