,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/TPA,TRUPTI AGARKAR,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,,"OS
SE-CSBS-
415",,,"ML
TE-B
612B",,,, ,,,,,,,,,,,,,,,,
TUE,,,"ML
TE-B
612B",,SE-CSBS-B1-OS-522,,,,,,,,,,,,,,,,,,,,
WED,,"OS
SE-CSBS-A
415","ML
TE-B
612B",,SE-CSBS-A3-OS-522,,TE-B3-ML-617A,,,,,,,,,,,,,,,,,,
THR,"OS
SE-CSBS-A
415",,,,TE-B1-ML-112C,,,,,,,,,,,,,,,,,,,,
FRI,SE-CSBS-B3-OS-522,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
