,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,/UPW,Dr. UTTAM WAGHMODE,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,SE-CSBS-A3-SBLPython-513B,,,,"ML
TE-E
612A",,TE-E3-ML-601,, ,,,,,,,,,,,,,,,,
TUE,SE-CSBS-A2-SBLPython-513B,,"ML
TE-E
612A",,,,TE-E1-ML-617B,,,,,,,,,,,,,,,,,,
WED,,,,,SE-CSBS-A1-SBLPython-513B,,,,,,,,,,,,,,,,,,,,
THR,,,"ML
TE-E
612A",,"SBLPython
SE-CSBS-A
414",,,,,,,,,,,,,,,,,,,,
FRI,,"SBLPython
SE-CSBS-A
414",TE-E2-ML-513B,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
