,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/VKG,DR. VISHAKHA GAIKWAD,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,"CP
FE-D
012",,SE-A1-CN-112A,,,,,, ,,,,,,,,,,,,,,,,
TUE,,"CN
SE-A
504",,,"CP
FE-D
012",,,,,,,,,,,,,,,,,,,,
WED,,,SE-A3-CN-112A,,,"CN
SE-A
504",,,,,,,,,,,,,,,,,,,
THR,,"CN
SE-A
504",SE-A2-CN-112A,,,,FE-D2-CP-212A,,,,,,,,,,,,,,,,,,
FRI,,,"CP
FE-D
012",,,,FE-D3-CP-212A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
