,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16,/VMP,VRUSHALI PATIL,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,SE-D2-CN-518A,,"PEC-II CC
TE-(B1+B2+C1+E3)
612B",,,,"CN
SE-C
506",, ,,,,,,,,,,,,,,,,
TUE,"CN
SE-C
506",,,,"PEC-II CC
TE-(B1+B2+C1+E2)
612B",,TE-B2-PEC-II-CC-520,,,,,,,,,,,,,,,,,,
WED,,"PEC-II CC
TE-(B1+B2+C1+E3)
612B",SE-C3-CN-518A,,,,TE-B1-PEC-II-CC-112A,,,,,,,,,,,,,,,,,,
THR,,,SE-C2-CN-518A,,,,,,,,,,,,,,,,,,,,,,
FRI,,,,,,"CN
SE-C
506",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
