,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
Time Table EVEN Semester 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,17,/VSJ,DR. VAISHALI JADHAV,,,,,,,,,,,,,,,,
Day/Time,9:00 to 10:00,10:00 to 11:00,11:00 to 12:00,12:00 to 1:00,1:00 to 2:00,2:00 to 3:00,3:00 to 4:00,4:00 to 5:00,,,,,,,,,,,,,,,,,
MON,"IOT
SE-CSBS-B
415","IOT
SE-CE-B
505",,,,,TE-A1-DEVOPS-518A,, ,,,,,,,,,,,,,,,,
TUE,,,"IOT
SE-CE-B
505",,,"CSE - SE 
215",TE-B1-DEVOPS-524,,,,,,,,,,,,,,,,,,
WED,,,"IOT
SE-CSBS-B
415",,CSE - SE,,TE-C1-PEC-II-CC- 112C,,,,,,,,,,,,,,,,,,
THR,,,,,TE-D1-PEC-II-CC-613B,,,,,,,,,,,,,,,,,,,,
FRI,,CSE - SE,TE-A3-DEVOPS-520,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Head of Department,,,,Principal,,,,,,,,,,,,,,,,,,,
